game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822712,2026-07-06,Houston Astros @ Washington Nationals,away,Mike Burrows,Washington Nationals,9,0.332,0.333,0.318,0.348,0.03,0.259,0.256,0.245,0.271,0.026,0.431,0.434,0.4,0.468,0.068,37.7,39.821,39.45,38.055,-1.395,88.0,89.425,88.98,88.445,-0.535,15.8,13.574,13.978,15.396,1.418,18.1,20.69,22.095,16.949,-5.146,8.3,8.521,9.01,7.85,-1.16,0.534,0.828,0.443,62.0,slight
822712,2026-07-06,Houston Astros @ Washington Nationals,home,Miles Mikolas,Houston Astros,9,0.337,0.332,0.318,0.352,0.034,0.273,0.251,0.245,0.28,0.035,0.48,0.441,0.4,0.529,0.129,40.3,39.888,39.45,40.747,1.297,89.8,89.12,88.98,89.94,0.96,11.8,14.724,13.978,12.546,-1.432,13.2,20.764,22.095,12.405,-9.69,4.8,9.026,9.01,4.809,-4.201,0.98,0.83,0.814,88.0,notable
822958,2026-07-06,New York Yankees @ Tampa Bay Rays,away,Cam Schlittler,Tampa Bay Rays,9,0.277,0.314,0.318,0.274,-0.044,0.221,0.25,0.245,0.226,-0.019,0.366,0.379,0.4,0.347,-0.053,40.6,34.689,39.45,35.7,-3.75,88.1,88.26,88.98,87.38,-1.6,12.9,11.732,13.978,10.654,-3.324,29.7,16.986,22.095,22.833,0.738,5.1,9.266,9.01,5.245,-3.765,-0.738,0.816,-0.602,81.0,slight
822958,2026-07-06,New York Yankees @ Tampa Bay Rays,home,Griffin Jax,New York Yankees,9,0.354,0.323,0.318,0.36,0.042,0.278,0.244,0.245,0.277,0.032,0.483,0.409,0.4,0.494,0.094,41.4,40.343,39.45,42.337,2.887,88.9,89.158,88.98,89.078,0.098,10.8,15.387,13.978,12.209,-1.769,23.4,22.042,22.095,23.344,1.249,8.1,10.243,9.01,9.208,0.198,0.686,0.738,0.506,75.0,slight
823036,2026-07-06,Milwaukee Brewers @ St. Louis Cardinals,away,Shane Drohan,St. Louis Cardinals,9,0.285,0.33,0.318,0.296,-0.022,0.23,0.258,0.245,0.242,-0.003,0.355,0.408,0.4,0.362,-0.038,36.2,41.024,39.45,37.644,-1.806,87.7,89.152,88.98,87.872,-1.108,13.5,12.159,13.978,11.681,-2.297,24.5,18.961,22.095,21.025,-1.07,7.5,8.54,9.01,7.109,-1.901,-0.377,0.731,-0.276,25.0,negligible
823036,2026-07-06,Milwaukee Brewers @ St. Louis Cardinals,home,Dustin May,Milwaukee Brewers,9,0.305,0.328,0.318,0.315,-0.003,0.243,0.252,0.245,0.25,0.005,0.379,0.416,0.4,0.394,-0.006,46.5,41.29,39.45,48.669,9.219,90.0,89.954,88.98,90.974,1.994,11.1,9.164,13.978,6.286,-7.692,22.2,21.497,22.095,21.599,-0.496,6.8,10.306,9.01,7.778,-1.232,0.273,0.802,0.219,19.0,negligible
823205,2026-07-06,Toronto Blue Jays @ San Francisco Giants,away,Kevin Gausman,San Francisco Giants,9,0.302,0.323,0.318,0.307,-0.011,0.241,0.267,0.245,0.263,0.018,0.404,0.434,0.4,0.438,0.038,39.8,38.905,39.45,39.25,-0.2,89.0,89.273,88.98,89.293,0.313,15.4,15.37,13.978,16.792,2.814,23.9,18.451,22.095,19.958,-2.137,5.7,5.677,9.01,3.591,-5.419,0.06,0.831,0.05,12.0,negligible
823205,2026-07-06,Toronto Blue Jays @ San Francisco Giants,home,Landen Roupp,Toronto Blue Jays,9,0.289,0.304,0.318,0.276,-0.042,0.229,0.254,0.245,0.237,-0.008,0.321,0.376,0.4,0.302,-0.098,29.3,34.786,39.45,25.836,-13.614,86.6,87.772,88.98,85.392,-3.588,9.6,13.342,13.978,8.964,-5.014,26.0,18.136,22.095,21.341,-0.754,10.5,7.128,9.01,8.307,-0.703,-1.121,0.799,-0.896,94.0,notable
823282,2026-07-06,Arizona Diamondbacks @ San Diego Padres,away,Brandon Pfaadt,San Diego Padres,9,0.341,0.319,0.318,0.342,0.024,0.248,0.243,0.245,0.246,0.001,0.45,0.403,0.4,0.453,0.053,39.0,43.007,39.45,42.516,3.066,89.5,89.652,88.98,90.172,1.192,10.9,10.989,13.978,7.911,-6.067,17.4,23.026,22.095,18.133,-3.962,9.5,9.206,9.01,9.707,0.697,0.593,0.694,0.412,50.0,slight
823282,2026-07-06,Arizona Diamondbacks @ San Diego Padres,home,Walker Buehler,Arizona Diamondbacks,9,0.326,0.333,0.318,0.341,0.023,0.262,0.265,0.245,0.283,0.038,0.414,0.412,0.4,0.426,0.026,41.7,37.931,39.45,40.094,0.644,90.5,88.387,88.98,89.907,0.927,10.6,13.35,13.978,9.972,-4.006,21.7,16.035,22.095,15.748,-6.347,8.5,9.235,9.01,8.712,-0.298,0.504,0.801,0.404,44.0,slight
