game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822710,2026-07-08,Houston Astros @ Washington Nationals,away,Spencer Arrighetti,Washington Nationals,9,0.334,0.34,0.318,0.357,0.039,0.236,0.262,0.245,0.252,0.007,0.385,0.453,0.4,0.436,0.036,30.0,43.226,39.413,32.902,-6.511,87.7,89.956,88.962,88.694,-0.268,17.6,14.352,13.968,17.984,4.016,23.9,19.648,22.098,21.25,-0.848,11.5,8.126,9.0,10.383,1.383,0.328,0.772,0.253,47.0,negligible
822710,2026-07-08,Houston Astros @ Washington Nationals,home,Foster Griffin,Houston Astros,9,0.311,0.331,0.318,0.324,0.006,0.242,0.25,0.245,0.247,0.002,0.413,0.433,0.4,0.447,0.047,37.6,39.263,39.413,37.457,-1.956,87.9,88.828,88.962,87.766,-1.196,12.4,14.71,13.968,13.142,-0.826,23.8,21.124,22.098,22.751,0.653,6.2,9.239,9.0,6.365,-2.635,0.063,0.827,0.052,13.0,negligible
822880,2026-07-08,Los Angeles Angels @ Texas Rangers,away,Walbert Ureña,Texas Rangers,9,0.282,0.32,0.318,0.284,-0.034,0.199,0.252,0.245,0.205,-0.04,0.295,0.399,0.4,0.294,-0.106,33.2,41.068,39.413,34.594,-4.819,87.0,89.371,88.962,87.409,-1.553,5.8,11.656,13.968,3.488,-10.48,22.3,20.948,22.098,21.139,-0.959,12.2,8.328,9.0,11.289,2.289,-0.766,0.781,-0.598,90.0,slight
822880,2026-07-08,Los Angeles Angels @ Texas Rangers,home,MacKenzie Gore,Los Angeles Angels,9,0.305,0.319,0.318,0.306,-0.012,0.237,0.236,0.245,0.228,-0.017,0.375,0.422,0.4,0.396,-0.004,44.1,41.165,39.413,46.06,6.647,89.9,89.016,88.962,89.954,0.992,16.2,16.75,13.968,18.982,5.014,25.5,24.957,22.098,28.799,6.701,9.6,7.808,9.0,8.329,-0.671,-0.094,0.814,-0.076,20.0,negligible
822957,2026-07-08,New York Yankees @ Tampa Bay Rays,away,Gerrit Cole,Tampa Bay Rays,9,0.285,0.311,0.318,0.279,-0.039,0.233,0.249,0.245,0.237,-0.008,0.367,0.376,0.4,0.345,-0.055,38.7,35.349,39.413,34.71,-4.703,89.9,88.393,88.962,89.331,0.369,19.9,10.996,13.968,16.928,2.96,22.8,17.238,22.098,17.786,-4.312,5.6,8.974,9.0,5.584,-3.416,-0.498,0.677,-0.337,67.0,negligible
822957,2026-07-08,New York Yankees @ Tampa Bay Rays,home,Shane McClanahan,New York Yankees,9,0.32,0.322,0.318,0.324,0.006,0.247,0.247,0.245,0.249,0.004,0.413,0.407,0.4,0.42,0.02,42.0,38.482,39.413,41.008,1.595,89.9,88.672,88.962,89.61,0.648,9.3,15.331,13.968,10.663,-3.305,23.2,21.772,22.098,22.858,0.76,8.4,9.808,9.0,9.154,0.154,0.159,0.789,0.125,30.0,negligible
823032,2026-07-08,Milwaukee Brewers @ St. Louis Cardinals,away,Kyle Harrison,St. Louis Cardinals,9,0.272,0.34,0.318,0.291,-0.027,0.219,0.266,0.245,0.238,-0.007,0.334,0.431,0.4,0.36,-0.04,34.8,43.287,39.413,38.221,-1.192,88.8,89.976,88.962,89.814,0.852,14.4,11.83,13.968,12.262,-1.706,30.6,18.663,22.098,25.843,3.745,6.2,8.543,9.0,5.885,-3.115,-0.443,0.77,-0.341,70.0,negligible
823032,2026-07-08,Milwaukee Brewers @ St. Louis Cardinals,home,Michael McGreevy,Milwaukee Brewers,9,0.36,0.334,0.318,0.378,0.06,0.292,0.257,0.245,0.306,0.061,0.505,0.43,0.4,0.543,0.143,40.3,44.19,39.413,45.185,5.772,89.8,90.598,88.962,91.436,2.474,10.8,8.918,13.968,5.75,-8.218,15.9,22.376,22.098,16.1,-5.998,5.8,10.044,9.0,6.473,-2.527,1.353,0.831,1.124,100.0,notable
823202,2026-07-08,Toronto Blue Jays @ San Francisco Giants,away,Dylan Cease,San Francisco Giants,9,0.266,0.321,0.318,0.269,-0.049,0.197,0.265,0.245,0.213,-0.032,0.283,0.425,0.4,0.301,-0.099,33.9,38.165,39.413,32.827,-6.586,86.0,88.94,88.962,85.978,-2.984,12.5,15.356,13.968,13.888,-0.08,36.7,18.249,22.098,30.308,8.21,11.0,6.096,9.0,7.451,-1.549,-1.23,0.762,-0.937,93.0,notable
823202,2026-07-08,Toronto Blue Jays @ San Francisco Giants,home,Logan Webb,Toronto Blue Jays,9,0.31,0.303,0.318,0.295,-0.023,0.26,0.251,0.245,0.266,0.021,0.388,0.373,0.4,0.362,-0.038,42.5,35.291,39.413,38.055,-1.358,89.7,87.581,88.962,88.319,-0.643,6.1,13.009,13.968,5.141,-8.827,20.4,16.94,22.098,15.638,-6.46,6.3,7.726,9.0,5.408,-3.592,-0.22,0.821,-0.181,42.0,negligible
