game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822711,2026-07-11,New York Yankees @ Washington Nationals,away,Cam Schlittler,Washington Nationals,9,0.267,0.333,0.318,0.28,-0.038,0.216,0.258,0.245,0.227,-0.018,0.351,0.432,0.4,0.379,-0.021,38.8,39.541,39.41,38.929,-0.481,87.7,89.123,88.954,87.869,-1.085,12.5,13.733,13.94,12.293,-1.647,29.6,19.094,22.115,25.557,3.442,4.8,8.504,8.995,4.538,-4.457,-0.571,0.827,-0.472,62.0,slight
822711,2026-07-11,New York Yankees @ Washington Nationals,home,Miles Mikolas,New York Yankees,9,0.341,0.322,0.318,0.345,0.027,0.277,0.243,0.245,0.275,0.03,0.486,0.413,0.4,0.502,0.102,40.6,40.455,39.41,41.677,2.267,89.9,89.212,88.954,90.158,1.204,12.2,15.385,13.94,13.645,-0.295,13.0,22.895,22.115,13.459,-8.656,4.9,10.027,8.995,5.462,-3.533,0.859,0.84,0.722,90.0,slight
822875,2026-07-11,Houston Astros @ Texas Rangers,away,Peter Lambert,Texas Rangers,9,0.293,0.327,0.318,0.301,-0.017,0.209,0.256,0.245,0.218,-0.027,0.357,0.411,0.4,0.367,-0.033,38.2,43.366,39.41,42.035,2.625,89.1,89.865,88.954,90.011,1.057,18.3,12.513,13.94,16.873,2.933,22.4,21.728,22.115,22.008,-0.107,9.7,8.69,8.995,9.371,0.376,-0.137,0.786,-0.108,10.0,negligible
822875,2026-07-11,Houston Astros @ Texas Rangers,home,Kumar Rocker,Houston Astros,9,0.33,0.327,0.318,0.339,0.021,0.264,0.251,0.245,0.27,0.025,0.422,0.426,0.4,0.449,0.049,42.5,38.354,39.41,41.361,1.951,89.2,88.652,88.954,88.898,-0.056,11.5,14.396,13.94,11.956,-1.984,20.4,20.305,22.115,18.73,-3.385,8.8,8.881,8.995,8.688,-0.307,0.459,0.809,0.371,45.0,negligible
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,away,Logan Gilbert,Tampa Bay Rays,9,0.296,0.314,0.318,0.292,-0.026,0.235,0.251,0.245,0.241,-0.004,0.392,0.377,0.4,0.369,-0.031,42.8,35.392,39.41,38.436,-0.974,90.3,88.424,88.954,89.77,0.816,18.2,10.899,13.94,15.159,1.219,27.2,17.139,22.115,21.08,-1.035,5.3,9.265,8.995,5.459,-3.536,-0.288,0.822,-0.237,28.0,negligible
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,home,Griffin Jax,Seattle Mariners,9,0.346,0.328,0.318,0.357,0.039,0.268,0.249,0.245,0.272,0.027,0.471,0.412,0.4,0.485,0.085,41.7,39.838,39.41,42.153,2.743,89.0,89.274,88.954,89.32,0.366,10.7,13.884,13.94,10.644,-3.296,25.6,22.272,22.115,25.782,3.667,8.3,9.118,8.995,8.413,-0.582,0.589,0.745,0.439,52.0,slight
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,away,Reynaldo López,St. Louis Cardinals,9,0.327,0.336,0.318,0.346,0.028,0.251,0.262,0.245,0.268,0.023,0.412,0.426,0.4,0.439,0.039,34.6,42.202,39.41,37.051,-2.359,86.8,89.574,88.954,87.42,-1.534,16.9,12.029,13.94,14.989,1.049,21.3,18.712,22.115,18.022,-4.093,10.0,8.471,8.995,9.417,0.422,0.347,0.73,0.253,38.0,negligible
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,home,Matthew Liberatore,Atlanta Braves,9,0.357,0.328,0.318,0.368,0.05,0.279,0.256,0.245,0.292,0.047,0.473,0.431,0.4,0.51,0.11,41.6,41.157,39.41,43.444,4.034,90.6,89.601,88.954,91.247,2.293,15.7,15.017,13.94,16.777,2.837,21.0,20.198,22.115,19.18,-2.935,9.0,7.609,8.995,7.613,-1.382,1.051,0.818,0.859,97.0,notable
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,San Francisco Giants,9,0.365,0.322,0.318,0.37,0.052,0.299,0.265,0.245,0.323,0.078,0.507,0.427,0.4,0.541,0.141,44.6,37.994,39.41,42.998,3.588,91.0,88.879,88.954,90.925,1.971,14.8,15.327,13.94,16.187,2.247,18.5,18.338,22.115,15.34,-6.775,4.8,6.244,8.995,3.332,-5.663,1.224,0.826,1.011,100.0,notable
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,home,Tyler Mahle,Colorado Rockies,9,0.315,0.318,0.318,0.315,-0.003,0.246,0.25,0.245,0.251,0.006,0.399,0.392,0.4,0.391,-0.009,34.8,36.837,39.41,32.528,-6.882,89.4,87.958,88.954,88.404,-0.55,12.9,14.478,13.94,13.438,-0.502,22.4,21.232,22.115,21.506,-0.609,9.4,8.416,8.995,8.795,-0.2,-0.221,0.778,-0.172,17.0,negligible
