game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822884,2026-07-02,Detroit Tigers @ Texas Rangers,away,Framber Valdez,L,Texas Rangers,9,2,7,0,7,3,98,False,True,0.845,0.792,0.708,0.715,0.749,-0.001
822884,2026-07-02,Detroit Tigers @ Texas Rangers,home,Nathan Eovaldi,R,Detroit Tigers,9,6,3,0,6,0,184,False,True,0.763,0.769,0.724,0.731,0.738,-0.012
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,away,Walbert Ureña,R,Seattle Mariners,9,6,2,1,7,0,152,False,True,0.758,0.758,0.651,0.679,0.671,-0.079
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,home,Bryce Miller,R,Los Angeles Angels,9,3,6,0,3,0,75,False,True,0.702,0.707,0.583,0.63,0.605,-0.145
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,away,Jared Jones,R,Philadelphia Phillies,9,6,2,1,7,0,51,False,True,0.772,0.778,0.852,0.804,0.812,0.062
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,home,Alan Rangel,R,Pittsburgh Pirates,9,2,4,3,5,1,27,True,False,0.813,0.803,0.669,0.733,0.787,0.037
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,away,Chase Burns,R,Milwaukee Brewers,9,6,3,0,6,0,154,False,True,0.799,0.795,0.641,0.663,0.695,-0.055
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,home,Jacob Misiorowski,R,Cincinnati Reds,9,2,5,2,4,0,185,False,True,0.718,0.729,0.459,0.499,0.49,-0.26
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,away,Randy Vásquez,R,Los Angeles Dodgers,9,5,3,1,6,0,148,False,True,0.847,0.835,0.841,0.829,0.909,0.159
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,home,Roki Sasaki,R,San Diego Padres,9,3,6,0,3,0,142,False,True,0.66,0.676,0.789,0.769,0.703,-0.047
824093,2026-07-02,Tampa Bay Rays @ Kansas City Royals,away,Ian Seymour,L,Kansas City Royals,9,4,4,1,5,1,82,False,True,0.733,0.732,0.681,0.684,0.679,-0.071
824093,2026-07-02,Tampa Bay Rays @ Kansas City Royals,home,Stephen Kolek,R,Tampa Bay Rays,9,6,2,1,7,0,95,False,True,0.79,0.788,0.724,0.746,0.772,0.022
824335,2026-07-02,Miami Marlins @ Colorado Rockies,away,Ryan Gusto,R,Colorado Rockies,9,5,2,2,7,0,39,True,False,0.789,0.788,0.788,0.788,0.807,0.057
824335,2026-07-02,Miami Marlins @ Colorado Rockies,home,Michael Lorenzen,R,Miami Marlins,9,5,3,1,6,0,194,False,True,0.762,0.761,0.983,0.933,0.939,0.189
824416,2026-07-02,Chicago White Sox @ Cleveland Guardians,away,Davis Martin,R,Cleveland Guardians,9,6,1,2,8,1,154,False,True,0.699,0.715,0.651,0.683,0.626,-0.124
824416,2026-07-02,Chicago White Sox @ Cleveland Guardians,home,Slade Cecconi,R,Chicago White Sox,9,6,2,1,7,1,171,False,True,0.774,0.776,0.727,0.743,0.757,0.007
824906,2026-07-02,St. Louis Cardinals @ Atlanta Braves,away,Dustin May,R,Atlanta Braves,9,6,2,1,7,1,132,False,True,0.748,0.754,0.732,0.733,0.716,-0.034
824906,2026-07-02,St. Louis Cardinals @ Atlanta Braves,home,Hurston Waldrep,R,St. Louis Cardinals,9,5,4,0,5,0,6,True,False,0.769,0.771,0.75,0.754,0.771,0.021
