game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822709,2026-07-10,New York Yankees @ Washington Nationals,away,Ryan Weathers,Washington Nationals,9,0.331,0.333,0.318,0.347,0.029,0.255,0.258,0.245,0.269,0.024,0.451,0.432,0.4,0.487,0.087,42.7,39.541,39.41,42.842,3.432,89.7,89.123,88.954,89.869,0.915,11.8,13.733,13.94,11.593,-2.347,26.9,19.094,22.115,23.225,1.11,7.0,8.504,8.995,6.618,-2.377,0.605,0.808,0.489,70.0,slight
822709,2026-07-10,New York Yankees @ Washington Nationals,home,Carson Palmquist,New York Yankees,9,0.298,0.322,0.318,0.302,-0.016,0.228,0.243,0.245,0.226,-0.019,0.354,0.413,0.4,0.366,-0.034,27.8,40.455,39.41,28.537,-10.873,90.1,89.212,88.954,90.358,1.404,12.2,15.385,13.94,13.645,-0.295,25.0,22.895,22.115,25.882,3.767,7.1,10.027,8.995,7.915,-1.08,-0.516,0.231,-0.119,13.0,negligible
822878,2026-07-10,Houston Astros @ Texas Rangers,away,Hunter Brown,Texas Rangers,9,0.288,0.327,0.318,0.296,-0.022,0.192,0.256,0.245,0.201,-0.044,0.317,0.411,0.4,0.326,-0.074,37.8,43.366,39.41,41.594,2.184,85.2,89.865,88.954,86.111,-2.843,9.6,12.513,13.94,8.173,-5.767,27.3,21.728,22.115,26.822,4.707,13.3,8.69,8.995,12.849,3.854,-0.617,0.552,-0.341,63.0,negligible
822878,2026-07-10,Houston Astros @ Texas Rangers,home,Cal Quantrill,Houston Astros,9,0.339,0.324,0.318,0.345,0.027,0.256,0.246,0.245,0.257,0.012,0.454,0.424,0.4,0.481,0.081,35.7,38.357,39.41,34.746,-4.664,87.7,88.816,88.954,87.562,-1.392,20.1,14.567,13.94,20.727,6.787,15.9,21.106,22.115,15.175,-6.94,7.1,8.959,8.995,7.072,-1.923,0.475,0.677,0.322,50.0,negligible
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,away,Luis Castillo,Tampa Bay Rays,9,0.329,0.314,0.318,0.325,0.007,0.261,0.251,0.245,0.267,0.022,0.429,0.377,0.4,0.404,0.004,44.3,35.392,39.41,39.783,0.373,90.4,88.424,88.954,89.87,0.916,16.8,10.899,13.94,13.759,-0.181,21.1,17.139,22.115,16.352,-5.763,7.4,9.265,8.995,7.622,-1.373,0.276,0.81,0.223,30.0,negligible
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,home,Nick Martinez,Seattle Mariners,9,0.333,0.328,0.318,0.343,0.025,0.281,0.249,0.245,0.286,0.041,0.446,0.412,0.4,0.459,0.059,33.1,39.838,39.41,33.459,-5.951,87.2,89.274,88.954,87.52,-1.434,16.6,13.884,13.94,16.544,2.604,15.0,22.272,22.115,15.106,-7.009,4.4,9.118,8.995,4.46,-4.535,0.368,0.845,0.311,47.0,negligible
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,away,Chris Sale,St. Louis Cardinals,9,0.289,0.336,0.318,0.305,-0.013,0.234,0.262,0.245,0.25,0.005,0.348,0.426,0.4,0.371,-0.029,32.8,42.202,39.41,35.124,-4.286,87.1,89.574,88.954,87.72,-1.234,10.6,12.029,13.94,8.689,-5.251,28.6,18.712,22.115,24.199,2.084,6.1,8.471,8.995,5.745,-3.25,-0.412,0.805,-0.332,57.0,negligible
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,home,Kyle Leahy,Atlanta Braves,9,0.359,0.328,0.318,0.37,0.052,0.279,0.256,0.245,0.292,0.047,0.474,0.431,0.4,0.511,0.111,50.4,41.157,39.41,52.634,13.224,91.8,89.601,88.954,92.447,3.493,9.7,15.017,13.94,10.777,-3.163,19.3,20.198,22.115,17.627,-4.488,8.7,7.609,8.995,7.359,-1.636,1.379,0.816,1.125,97.0,notable
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,away,Tanner Gordon,San Francisco Giants,9,0.339,0.322,0.318,0.343,0.025,0.261,0.265,0.245,0.282,0.037,0.487,0.427,0.4,0.52,0.12,45.6,37.994,39.41,43.962,4.552,91.6,88.879,88.954,91.525,2.571,19.2,15.327,13.94,20.587,6.647,22.4,18.338,22.115,18.574,-3.541,4.9,6.244,8.995,3.401,-5.594,0.879,0.71,0.624,80.0,slight
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,home,Robbie Ray,Colorado Rockies,9,0.329,0.318,0.318,0.329,0.011,0.237,0.25,0.245,0.242,-0.003,0.428,0.392,0.4,0.419,0.019,37.5,36.837,39.41,35.052,-4.358,89.0,87.958,88.954,88.004,-0.95,19.6,14.478,13.94,20.138,6.198,20.5,21.232,22.115,19.681,-2.434,11.0,8.416,8.995,10.292,1.297,0.072,0.828,0.059,3.0,negligible
