game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822715,2026-07-05,Pittsburgh Pirates @ Washington Nationals,away,Bubba Chandler,Washington Nationals,9,0.316,0.345,0.318,0.343,0.025,0.226,0.263,0.245,0.243,-0.002,0.374,0.457,0.401,0.426,0.025,37.0,43.559,39.503,40.799,1.296,89.4,90.026,88.994,90.432,1.438,18.7,13.933,13.966,18.667,4.701,20.8,20.63,22.101,19.416,-2.685,12.7,8.696,9.016,12.249,3.233,0.468,0.804,0.376,47.0,negligible
822715,2026-07-05,Pittsburgh Pirates @ Washington Nationals,home,Cade Cavalli,Pittsburgh Pirates,9,0.315,0.331,0.318,0.328,0.01,0.247,0.253,0.245,0.255,0.01,0.379,0.421,0.401,0.398,-0.003,39.4,42.277,39.503,42.167,2.664,89.1,89.277,88.994,89.383,0.389,8.8,11.628,13.966,6.462,-7.504,25.7,23.323,22.101,27.121,5.02,7.3,9.31,9.016,7.538,-1.478,0.041,0.809,0.033,10.0,negligible
822879,2026-07-05,Detroit Tigers @ Texas Rangers,away,Casey Mize,Texas Rangers,9,0.263,0.321,0.318,0.265,-0.053,0.214,0.251,0.245,0.219,-0.026,0.335,0.407,0.401,0.34,-0.061,34.7,42.275,39.503,37.135,-2.368,87.8,89.536,88.994,88.342,-0.652,17.7,12.201,13.966,15.935,1.969,26.9,21.826,22.101,26.565,4.464,5.5,8.541,9.016,5.21,-3.806,-0.858,0.739,-0.634,83.0,slight
822879,2026-07-05,Detroit Tigers @ Texas Rangers,home,Kumar Rocker,Detroit Tigers,9,0.328,0.334,0.318,0.345,0.027,0.262,0.253,0.245,0.271,0.026,0.416,0.431,0.401,0.447,0.046,42.7,41.298,39.503,44.64,5.137,89.4,89.028,88.994,89.434,0.44,10.7,17.667,13.966,14.401,0.435,20.3,21.769,22.101,19.995,-2.106,9.0,9.342,9.016,9.325,0.309,0.566,0.801,0.453,60.0,slight
823117,2026-07-05,Toronto Blue Jays @ Seattle Mariners,away,Trey Yesavage,Seattle Mariners,9,0.279,0.321,0.318,0.282,-0.036,0.197,0.246,0.245,0.198,-0.047,0.325,0.399,0.401,0.323,-0.078,37.0,38.117,39.503,35.702,-3.801,88.8,88.657,88.994,88.463,-0.531,21.9,14.237,13.966,22.171,8.205,22.3,22.155,22.101,22.354,0.253,10.9,8.865,9.016,10.717,1.701,-0.664,0.751,-0.499,63.0,slight
823117,2026-07-05,Toronto Blue Jays @ Seattle Mariners,home,Emerson Hancock,Toronto Blue Jays,9,0.327,0.306,0.318,0.315,-0.003,0.255,0.256,0.245,0.266,0.021,0.446,0.381,0.401,0.424,0.023,44.9,37.428,39.503,42.542,3.039,90.6,88.106,88.994,89.712,0.718,13.6,12.755,13.966,12.389,-1.577,24.2,17.516,22.101,19.18,-2.921,6.1,7.185,9.016,4.861,-4.155,0.208,0.805,0.167,30.0,negligible
823525,2026-07-05,Minnesota Twins @ New York Yankees,away,Joe Ryan,New York Yankees,9,0.28,0.332,0.318,0.292,-0.026,0.214,0.248,0.245,0.217,-0.028,0.367,0.416,0.401,0.381,-0.02,43.1,41.48,39.503,45.257,5.754,89.8,90.133,88.994,90.939,1.945,18.6,16.362,13.966,20.996,7.03,28.2,21.315,22.101,27.197,5.096,5.5,11.707,9.016,7.142,-1.874,-0.201,0.812,-0.163,27.0,negligible
823525,2026-07-05,Minnesota Twins @ New York Yankees,home,Ryan Weathers,Minnesota Twins,9,0.332,0.32,0.318,0.334,0.016,0.255,0.242,0.245,0.252,0.007,0.458,0.416,0.401,0.475,0.074,42.8,39.052,39.503,42.311,2.808,89.8,89.334,88.994,90.14,1.146,12.0,15.628,13.966,13.662,-0.304,26.7,20.965,22.101,25.328,3.227,6.8,8.202,9.016,6.186,-2.83,0.386,0.802,0.309,37.0,negligible
823931,2026-07-05,San Diego Padres @ Los Angeles Dodgers,away,JP Sears,Los Angeles Dodgers,9,0.415,0.355,0.318,0.463,0.145,0.312,0.268,0.245,0.341,0.096,0.593,0.459,0.401,0.679,0.278,47.2,44.063,39.503,52.648,13.145,91.0,90.274,88.994,92.28,3.286,20.1,14.949,13.966,21.083,7.117,18.0,20.862,22.101,16.991,-5.11,10.0,10.899,9.016,12.089,3.073,2.689,0.375,1.008,100.0,notable
823931,2026-07-05,San Diego Padres @ Los Angeles Dodgers,home,Emmet Sheehan,San Diego Padres,9,0.314,0.322,0.318,0.318,-0.0,0.236,0.245,0.245,0.236,-0.009,0.413,0.406,0.401,0.418,0.017,39.1,43.981,39.503,43.532,4.029,89.2,89.657,88.994,89.863,0.869,19.8,9.985,13.966,15.819,1.853,26.1,22.125,22.101,26.128,4.027,7.1,9.335,9.016,7.351,-1.665,0.078,0.771,0.06,17.0,negligible
