game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822713,2026-07-07,Houston Astros @ Washington Nationals,away,Tatsuya Imai,Washington Nationals,9,0.34,0.33,0.318,0.353,0.035,0.231,0.257,0.245,0.242,-0.003,0.41,0.429,0.4,0.44,0.04,46.3,39.514,39.466,46.356,6.89,90.6,89.148,88.977,90.771,1.794,11.9,13.801,13.976,11.725,-2.251,27.9,19.277,22.095,24.342,2.247,14.0,8.287,9.003,12.887,3.884,0.626,0.669,0.418,57.0,slight
822713,2026-07-07,Houston Astros @ Washington Nationals,home,Andrew Alvarez,Houston Astros,9,0.313,0.326,0.318,0.321,0.003,0.258,0.247,0.245,0.26,0.015,0.371,0.428,0.4,0.397,-0.003,45.0,38.614,39.466,44.029,4.563,90.3,88.926,88.977,90.249,1.272,6.5,14.779,13.976,7.303,-6.673,27.6,21.022,22.095,26.26,4.165,9.2,9.042,9.003,9.24,0.237,0.082,0.645,0.053,7.0,negligible
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,away,José Soriano,Texas Rangers,9,0.322,0.327,0.318,0.331,0.013,0.239,0.255,0.245,0.249,0.004,0.385,0.407,0.4,0.392,-0.008,37.3,43.149,39.466,40.781,1.315,88.4,89.842,88.977,89.265,0.288,6.8,12.593,13.976,5.417,-8.559,26.2,21.257,22.095,25.206,3.111,11.6,9.028,9.003,11.632,2.629,0.069,0.812,0.056,10.0,negligible
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,home,Jacob deGrom,Los Angeles Angels,9,0.289,0.306,0.318,0.278,-0.04,0.231,0.236,0.245,0.223,-0.022,0.399,0.391,0.4,0.39,-0.01,43.7,38.541,39.466,42.676,3.21,90.8,88.414,88.977,90.237,1.26,16.4,15.11,13.976,17.534,3.558,30.3,24.096,22.095,33.044,10.949,5.3,6.876,9.003,4.048,-4.955,-0.546,0.803,-0.439,63.0,slight
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,away,Will Warren,Tampa Bay Rays,9,0.312,0.312,0.318,0.306,-0.012,0.249,0.249,0.245,0.253,0.008,0.397,0.373,0.4,0.37,-0.03,38.5,34.849,39.466,33.996,-5.47,89.8,88.364,88.977,89.187,0.21,13.7,10.981,13.976,10.705,-3.271,23.4,17.113,22.095,18.124,-3.971,7.5,9.404,9.003,7.834,-1.169,-0.208,0.815,-0.169,27.0,negligible
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,home,Ian Seymour,New York Yankees,9,0.285,0.324,0.318,0.29,-0.028,0.207,0.243,0.245,0.205,-0.04,0.366,0.415,0.4,0.38,-0.02,35.6,40.486,39.466,36.52,-2.946,87.9,89.255,88.977,88.178,-0.799,22.3,15.327,13.976,23.651,9.675,26.1,22.44,22.095,26.508,4.413,9.1,10.267,9.003,10.378,1.375,-0.535,0.709,-0.379,50.0,negligible
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Robert Gasser,St. Louis Cardinals,9,0.283,0.338,0.318,0.301,-0.017,0.206,0.264,0.245,0.222,-0.023,0.347,0.428,0.4,0.371,-0.029,29.4,42.259,39.466,31.481,-7.985,86.7,89.627,88.977,87.35,-1.627,22.7,12.063,13.976,20.787,6.811,23.4,18.618,22.095,19.718,-2.377,8.4,8.643,9.003,8.064,-0.939,-0.439,0.63,-0.276,37.0,negligible
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Hunter Dobbins,Milwaukee Brewers,9,0.358,0.323,0.318,0.364,0.046,0.276,0.249,0.245,0.281,0.036,0.482,0.407,0.4,0.49,0.09,53.2,40.898,39.466,55.13,15.664,91.5,89.801,88.977,92.324,3.347,9.0,8.879,13.976,3.903,-10.073,26.0,21.372,22.095,25.149,3.054,9.6,10.103,9.003,10.773,1.77,1.116,0.439,0.49,67.0,slight
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Jacob Misiorowski,St. Louis Cardinals,9,0.226,0.348,0.318,0.247,-0.071,0.174,0.266,0.245,0.189,-0.056,0.246,0.447,0.4,0.275,-0.125,33.3,43.647,39.466,36.828,-2.638,87.3,90.073,88.977,88.396,-0.581,11.4,11.921,13.976,9.345,-4.631,39.3,18.36,22.095,32.657,10.562,6.8,9.028,9.003,6.819,-2.184,-1.357,0.775,-1.052,90.0,notable
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Matt Svanson,Milwaukee Brewers,9,0.365,0.33,0.318,0.379,0.061,0.291,0.255,0.245,0.303,0.058,0.458,0.418,0.4,0.479,0.079,44.9,41.893,39.466,47.661,8.195,91.0,90.037,88.977,92.06,3.083,17.6,8.529,13.976,12.153,-1.823,21.5,21.127,22.095,20.558,-1.537,10.7,10.258,9.003,12.192,3.189,1.163,0.663,0.771,87.0,slight
