game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822714,2026-07-03,Pittsburgh Pirates @ Washington Nationals,away,Mitch Keller,Washington Nationals,9,0.343,0.326,0.318,0.352,0.034,0.283,0.254,0.245,0.293,0.048,0.427,0.421,0.4,0.449,0.049,41.5,40.367,39.497,42.414,2.917,88.9,89.512,88.996,89.416,0.42,13.0,13.437,13.974,12.463,-1.511,18.2,20.405,22.092,16.81,-5.282,8.2,8.011,9.023,7.28,-1.743,0.665,0.828,0.55,62.0,slight
822714,2026-07-03,Pittsburgh Pirates @ Washington Nationals,home,Foster Griffin,Pittsburgh Pirates,9,0.307,0.328,0.318,0.317,-0.001,0.238,0.258,0.245,0.251,0.006,0.406,0.409,0.4,0.415,0.015,37.4,40.738,39.497,38.575,-0.922,87.7,88.604,88.996,87.308,-1.688,12.8,9.402,13.974,8.228,-5.746,24.5,22.882,22.092,25.376,3.284,6.3,9.041,9.023,6.313,-2.71,-0.153,0.818,-0.125,27.0,negligible
823120,2026-07-03,Toronto Blue Jays @ Seattle Mariners,away,Dylan Cease,Seattle Mariners,9,0.271,0.336,0.318,0.286,-0.032,0.2,0.258,0.245,0.211,-0.034,0.289,0.43,0.4,0.311,-0.089,34.3,40.309,39.497,35.005,-4.492,86.2,89.368,88.996,86.572,-2.424,11.7,13.69,13.974,11.416,-2.558,36.7,21.497,22.092,35.712,13.62,11.5,8.701,9.023,11.09,2.067,-1.088,0.748,-0.814,92.0,notable
823120,2026-07-03,Toronto Blue Jays @ Seattle Mariners,home,Luis Castillo,Toronto Blue Jays,9,0.331,0.305,0.318,0.317,-0.001,0.259,0.255,0.245,0.27,0.025,0.431,0.378,0.4,0.407,0.007,43.2,35.061,39.497,38.348,-1.149,90.3,87.855,88.996,89.159,0.163,17.3,13.156,13.974,16.482,2.508,21.5,18.072,22.092,17.588,-4.504,7.7,7.168,9.023,6.117,-2.906,0.102,0.796,0.081,8.0,negligible
823527,2026-07-03,Minnesota Twins @ New York Yankees,away,Mike Paredes,New York Yankees,9,0.356,0.324,0.318,0.363,0.045,0.285,0.245,0.245,0.285,0.04,0.459,0.411,0.4,0.472,0.072,51.8,39.972,39.497,52.423,12.926,91.9,89.071,88.996,91.975,2.979,14.9,15.406,13.974,16.332,2.358,11.8,22.071,22.092,11.789,-10.303,8.2,10.365,9.023,9.42,0.397,1.3,0.586,0.762,81.0,slight
823527,2026-07-03,Minnesota Twins @ New York Yankees,home,Gerrit Cole,Minnesota Twins,9,0.292,0.314,0.318,0.288,-0.03,0.238,0.242,0.245,0.235,-0.01,0.369,0.395,0.4,0.364,-0.036,37.7,36.923,39.497,35.243,-4.254,89.9,88.447,88.996,89.351,0.355,20.0,15.263,13.974,21.289,7.315,21.3,19.9,22.092,19.187,-2.905,6.3,8.42,9.023,5.879,-3.144,-0.383,0.653,-0.25,42.0,negligible
823933,2026-07-03,San Diego Padres @ Los Angeles Dodgers,away,Michael King,Los Angeles Dodgers,9,0.336,0.356,0.318,0.376,0.058,0.253,0.269,0.245,0.278,0.033,0.417,0.462,0.4,0.482,0.082,35.3,44.246,39.497,39.544,0.047,87.5,90.285,88.996,88.789,-0.207,13.4,14.914,13.974,14.34,0.366,20.9,20.95,22.092,19.82,-2.272,9.8,10.872,9.023,11.808,2.785,0.808,0.816,0.66,73.0,slight
823933,2026-07-03,San Diego Padres @ Los Angeles Dodgers,home,Shohei Ohtani,San Diego Padres,9,0.257,0.319,0.318,0.258,-0.06,0.201,0.247,0.245,0.203,-0.042,0.284,0.401,0.4,0.285,-0.115,35.5,42.615,39.497,38.302,-1.195,87.3,89.448,88.996,87.752,-1.244,11.4,9.929,13.974,7.355,-6.619,27.5,20.838,22.092,25.939,3.847,7.7,8.763,9.023,7.478,-1.545,-1.048,0.767,-0.804,88.0,notable
824013,2026-07-03,Boston Red Sox @ Los Angeles Angels,away,Jake Bennett,Los Angeles Angels,9,0.255,0.308,0.318,0.247,-0.071,0.211,0.236,0.245,0.203,-0.042,0.327,0.392,0.4,0.32,-0.08,35.4,38.544,39.497,34.546,-4.951,88.2,88.498,88.996,87.702,-1.294,11.1,15.447,13.974,12.573,-1.401,19.4,23.969,22.092,21.048,-1.044,5.4,6.992,9.023,4.185,-4.838,-1.026,0.615,-0.631,65.0,slight
824013,2026-07-03,Boston Red Sox @ Los Angeles Angels,home,Reid Detmers,Boston Red Sox,9,0.273,0.307,0.318,0.264,-0.054,0.211,0.242,0.245,0.208,-0.037,0.331,0.385,0.4,0.319,-0.081,36.8,37.919,39.497,35.33,-4.167,89.3,88.303,88.996,88.607,-0.389,18.1,13.624,13.974,17.75,3.776,27.6,21.711,22.092,27.124,5.032,7.6,7.387,9.023,6.222,-2.801,-0.957,0.811,-0.777,85.0,slight
