game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822710,2026-07-08,Houston Astros @ Washington Nationals,away,Spencer Arrighetti,R,Washington Nationals,9,5,2,2,7,0,143,False,True,0.8,0.8,0.689,0.702,0.737,-0.007
822710,2026-07-08,Houston Astros @ Washington Nationals,home,Foster Griffin,L,Houston Astros,9,2,7,0,7,1,121,False,True,0.702,0.734,0.655,0.667,0.661,-0.083
822880,2026-07-08,Los Angeles Angels @ Texas Rangers,away,Walbert Ureña,R,Texas Rangers,9,5,4,0,5,0,158,False,True,0.723,0.729,0.627,0.652,0.637,-0.107
822880,2026-07-08,Los Angeles Angels @ Texas Rangers,home,MacKenzie Gore,L,Los Angeles Angels,9,3,6,0,6,2,97,False,True,0.715,0.725,0.697,0.679,0.657,-0.087
822957,2026-07-08,New York Yankees @ Tampa Bay Rays,away,Gerrit Cole,R,Tampa Bay Rays,9,4,4,1,5,0,59,False,True,0.772,0.768,0.76,0.75,0.771,0.027
822957,2026-07-08,New York Yankees @ Tampa Bay Rays,home,Shane McClanahan,L,New York Yankees,9,6,3,0,3,0,68,False,True,0.74,0.734,0.564,0.612,0.63,-0.114
823032,2026-07-08,Milwaukee Brewers @ St. Louis Cardinals,away,Kyle Harrison,L,St. Louis Cardinals,9,4,5,0,5,1,94,False,True,0.716,0.729,0.623,0.642,0.645,-0.099
823032,2026-07-08,Milwaukee Brewers @ St. Louis Cardinals,home,Michael McGreevy,R,Milwaukee Brewers,9,5,4,0,5,0,135,False,True,0.79,0.785,0.669,0.687,0.721,-0.023
823202,2026-07-08,Toronto Blue Jays @ San Francisco Giants,away,Dylan Cease,R,San Francisco Giants,9,5,4,0,5,0,160,False,True,0.801,0.792,0.572,0.604,0.64,-0.104
823202,2026-07-08,Toronto Blue Jays @ San Francisco Giants,home,Logan Webb,R,Toronto Blue Jays,9,3,5,1,4,0,142,False,True,0.707,0.712,0.639,0.661,0.635,-0.109
823279,2026-07-08,Arizona Diamondbacks @ San Diego Padres,away,Jose Cabrera,R,San Diego Padres,9,3,6,0,3,0,24,True,False,0.686,0.692,0.838,0.771,0.727,-0.017
823279,2026-07-08,Arizona Diamondbacks @ San Diego Padres,home,Michael King,R,Arizona Diamondbacks,9,1,4,4,5,0,169,False,True,0.7,0.721,0.635,0.649,0.622,-0.122
823360,2026-07-08,Atlanta Braves @ Pittsburgh Pirates,away,Grant Holmes,R,Pittsburgh Pirates,9,2,4,3,5,0,149,False,True,0.796,0.787,0.733,0.736,0.771,0.027
823360,2026-07-08,Atlanta Braves @ Pittsburgh Pirates,home,Jared Jones,R,Atlanta Braves,9,5,3,1,6,0,51,False,True,0.764,0.764,0.813,0.786,0.798,0.054
