game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,away,Braxton Ashcraft,R,Washington Nationals,9,5,3,1,6,1,187,False,True,0.796,0.802,0.666,0.679,0.726,-0.024
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,home,Carson Palmquist,L,Pittsburgh Pirates,9,3,4,2,6,3,11,True,False,0.749,0.755,0.849,0.753,0.767,0.017
822882,2026-07-04,Detroit Tigers @ Texas Rangers,away,Jack Flaherty,R,Texas Rangers,9,6,3,0,6,0,150,False,True,0.734,0.743,0.788,0.774,0.758,0.008
822882,2026-07-04,Detroit Tigers @ Texas Rangers,home,Cal Quantrill,R,Detroit Tigers,9,6,3,0,6,1,77,False,True,0.773,0.774,0.686,0.711,0.726,-0.024
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,away,Shane Bieber,R,Seattle Mariners,9,6,2,1,7,0,19,True,False,0.753,0.756,1.158,0.893,0.882,0.132
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,home,Logan Gilbert,R,Toronto Blue Jays,9,5,3,1,6,1,169,False,True,0.738,0.737,0.652,0.664,0.654,-0.096
823526,2026-07-04,Minnesota Twins @ New York Yankees,away,Zebby Matthews,R,New York Yankees,9,5,3,1,6,1,107,False,True,0.765,0.773,0.756,0.757,0.774,0.024
823526,2026-07-04,Minnesota Twins @ New York Yankees,home,Brendan Beck,R,Minnesota Twins,9,2,5,2,4,0,14,True,False,0.79,0.78,1.188,0.836,0.87,0.12
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,away,Wandy Peralta,L,Los Angeles Dodgers,9,4,3,2,5,2,93,False,True,0.775,0.764,0.674,0.692,0.729,-0.021
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,home,Yoshinobu Yamamoto,R,San Diego Padres,9,3,6,0,3,0,183,False,True,0.693,0.698,0.559,0.593,0.558,-0.192
824012,2026-07-04,Boston Red Sox @ Los Angeles Angels,away,Sonny Gray,R,Los Angeles Angels,9,4,4,1,5,0,127,False,True,0.712,0.718,0.662,0.681,0.651,-0.099
824012,2026-07-04,Boston Red Sox @ Los Angeles Angels,home,Sam Aldegheri,L,Boston Red Sox,9,3,6,0,6,1,37,True,False,0.804,0.766,0.774,0.728,0.755,0.005
824092,2026-07-04,Philadelphia Phillies @ Kansas City Royals,away,Jesús Luzardo,L,Kansas City Royals,9,3,5,1,6,1,99,False,True,0.723,0.73,0.672,0.7,0.69,-0.06
824092,2026-07-04,Philadelphia Phillies @ Kansas City Royals,home,Michael Wacha,R,Philadelphia Phillies,9,6,3,0,6,0,186,False,True,0.775,0.773,0.675,0.69,0.701,-0.049
824171,2026-07-04,Tampa Bay Rays @ Houston Astros,away,Drew Rasmussen,R,Houston Astros,9,3,6,0,3,1,135,False,True,0.783,0.78,0.458,0.545,0.57,-0.18
824171,2026-07-04,Tampa Bay Rays @ Houston Astros,home,Hunter Brown,R,Tampa Bay Rays,9,5,3,1,6,0,51,False,True,0.765,0.769,0.562,0.669,0.678,-0.072
824334,2026-07-04,San Francisco Giants @ Colorado Rockies,away,Robbie Ray,L,Colorado Rockies,9,4,4,1,5,1,103,False,True,0.744,0.751,0.657,0.675,0.692,-0.058
824334,2026-07-04,San Francisco Giants @ Colorado Rockies,home,Sean Sullivan,L,San Francisco Giants,9,4,5,0,5,2,22,True,False,0.712,0.728,1.046,0.855,0.845,0.095
824415,2026-07-04,Chicago White Sox @ Cleveland Guardians,away,Sean Burke,R,Cleveland Guardians,9,7,1,1,8,1,150,False,True,0.713,0.724,0.719,0.729,0.684,-0.066
824415,2026-07-04,Chicago White Sox @ Cleveland Guardians,home,Parker Messick,L,Chicago White Sox,9,2,5,2,7,4,114,False,True,0.828,0.798,0.619,0.634,0.678,-0.072
824499,2026-07-04,Baltimore Orioles @ Cincinnati Reds,away,Brandon Young,R,Cincinnati Reds,9,3,5,1,4,0,120,False,True,0.706,0.718,0.666,0.683,0.656,-0.094
824499,2026-07-04,Baltimore Orioles @ Cincinnati Reds,home,Hunter Greene,R,Baltimore Orioles,9,4,3,2,6,0,0,True,False,0.771,0.765,,0.759,0.765,0.015
824658,2026-07-04,St. Louis Cardinals @ Chicago Cubs,away,Kyle Leahy,R,Chicago Cubs,9,3,5,1,4,0,168,False,True,0.755,0.756,0.772,0.773,0.783,0.033
824658,2026-07-04,St. Louis Cardinals @ Chicago Cubs,home,Shota Imanaga,L,St. Louis Cardinals,9,4,5,0,5,1,112,False,True,0.723,0.735,0.708,0.708,0.708,-0.042
824903,2026-07-04,New York Mets @ Atlanta Braves,away,Sean Manaea,L,Atlanta Braves,9,3,5,1,6,0,94,False,True,0.752,0.752,0.764,0.761,0.762,0.012
824903,2026-07-04,New York Mets @ Atlanta Braves,home,Chris Sale,L,New York Mets,9,4,4,1,5,0,92,False,True,0.731,0.727,0.59,0.612,0.608,-0.142
