game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822884,2026-07-02,Detroit Tigers @ Texas Rangers,away,Framber Valdez,Texas Rangers,9,0.321,0.314,0.318,0.317,-0.001,0.251,0.259,0.245,0.265,0.02,0.401,0.385,0.401,0.385,-0.016,41.9,39.967,39.505,42.39,2.885,90.0,88.742,88.995,89.747,0.752,7.6,10.819,13.984,4.435,-9.549,18.5,21.076,22.115,17.631,-4.484,8.2,7.449,9.018,6.773,-2.245,0.16,0.832,0.133,22.0,negligible
822884,2026-07-02,Detroit Tigers @ Texas Rangers,home,Nathan Eovaldi,Detroit Tigers,9,0.312,0.333,0.318,0.327,0.009,0.246,0.25,0.245,0.251,0.006,0.413,0.43,0.401,0.443,0.042,38.0,41.314,39.505,39.74,0.235,88.5,89.088,88.995,88.593,-0.402,9.8,17.732,13.984,13.548,-0.436,24.4,23.079,22.115,25.464,3.349,5.6,9.691,9.018,6.018,-3.0,0.098,0.826,0.081,17.0,negligible
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,away,Walbert Ureña,Seattle Mariners,9,0.283,0.337,0.318,0.3,-0.018,0.205,0.259,0.245,0.217,-0.028,0.303,0.433,0.401,0.327,-0.074,33.7,40.518,39.505,34.564,-4.941,87.1,89.416,88.995,87.521,-1.474,6.0,13.797,13.984,5.813,-8.171,22.0,21.466,22.115,21.354,-0.761,11.8,8.64,9.018,11.305,2.287,-0.526,0.771,-0.405,72.0,slight
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,home,Bryce Miller,Los Angeles Angels,9,0.237,0.307,0.318,0.229,-0.089,0.191,0.237,0.245,0.185,-0.06,0.338,0.393,0.401,0.331,-0.07,27.9,38.458,39.505,27.161,-12.344,86.0,88.415,88.995,85.42,-3.575,16.3,15.354,13.984,17.67,3.686,33.1,24.936,22.115,37.322,15.207,3.1,6.92,9.018,2.379,-6.639,-1.844,0.634,-1.169,89.0,notable
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,away,Jared Jones,Philadelphia Phillies,9,0.338,0.32,0.318,0.34,0.022,0.259,0.254,0.245,0.269,0.024,0.457,0.413,0.401,0.471,0.07,40.8,41.67,39.505,43.036,3.531,90.3,89.471,88.995,90.776,1.781,11.0,12.529,13.984,9.545,-4.439,22.7,21.597,22.115,22.168,0.053,8.2,7.978,9.018,7.254,-1.764,0.554,0.559,0.309,56.0,negligible
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,home,Alan Rangel,Pittsburgh Pirates,9,0.27,0.33,0.318,0.28,-0.038,0.22,0.256,0.245,0.23,-0.015,0.346,0.416,0.401,0.359,-0.042,25.7,41.052,39.505,26.706,-12.799,85.9,88.881,88.995,85.786,-3.209,25.3,11.639,13.984,22.955,8.971,25.5,23.219,22.115,26.773,4.658,3.9,9.376,9.018,4.055,-4.963,-1.023,0.368,-0.377,67.0,negligible
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,away,Chase Burns,Milwaukee Brewers,9,0.27,0.326,0.318,0.277,-0.041,0.203,0.249,0.245,0.206,-0.039,0.34,0.411,0.401,0.348,-0.053,36.0,41.061,39.505,37.418,-2.087,88.8,89.887,88.995,89.692,0.697,19.6,9.266,13.984,14.882,0.898,30.5,21.514,22.115,29.671,7.556,7.9,10.554,9.018,9.246,0.228,-0.724,0.789,-0.571,78.0,slight
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,home,Jacob Misiorowski,Cincinnati Reds,9,0.228,0.336,0.318,0.241,-0.077,0.175,0.248,0.245,0.177,-0.068,0.244,0.436,0.401,0.265,-0.136,33.2,39.669,39.505,33.338,-6.167,87.1,89.809,88.995,87.914,-1.081,10.8,16.089,13.984,12.905,-1.079,38.8,24.975,22.115,43.818,21.703,7.2,10.288,9.018,8.214,-0.804,-1.806,0.766,-1.383,94.0,strong
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,away,Randy Vásquez,Los Angeles Dodgers,9,0.397,0.36,0.318,0.449,0.131,0.308,0.273,0.245,0.343,0.098,0.562,0.471,0.401,0.66,0.259,47.0,44.428,39.505,52.857,13.352,91.9,90.316,88.995,93.221,4.226,17.4,15.165,13.984,18.581,4.597,17.0,20.517,22.115,15.772,-6.343,7.4,10.875,9.018,8.924,-0.094,2.568,0.815,2.093,100.0,strong
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,home,Roki Sasaki,San Diego Padres,9,0.331,0.319,0.318,0.332,0.014,0.244,0.247,0.245,0.246,0.001,0.423,0.4,0.401,0.422,0.021,45.1,42.688,39.505,48.734,9.229,90.2,89.461,88.995,90.666,1.671,13.4,9.947,13.984,9.363,-4.621,23.2,20.827,22.115,21.849,-0.266,9.6,8.743,9.018,9.307,0.289,0.48,0.773,0.371,61.0,negligible
