game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822714,2026-07-03,Pittsburgh Pirates @ Washington Nationals,away,Mitch Keller,R,Washington Nationals,9,6,1,2,8,0,157,False,True,0.766,0.779,0.765,0.759,0.765,0.016
822714,2026-07-03,Pittsburgh Pirates @ Washington Nationals,home,Foster Griffin,L,Pittsburgh Pirates,9,2,4,3,7,2,116,False,True,0.724,0.747,0.654,0.668,0.666,-0.083
823120,2026-07-03,Toronto Blue Jays @ Seattle Mariners,away,Dylan Cease,R,Seattle Mariners,9,6,2,1,7,0,155,False,True,0.754,0.755,0.607,0.638,0.625,-0.124
823120,2026-07-03,Toronto Blue Jays @ Seattle Mariners,home,Luis Castillo,R,Toronto Blue Jays,9,4,4,1,5,0,143,False,True,0.744,0.743,0.739,0.745,0.733,-0.016
823527,2026-07-03,Minnesota Twins @ New York Yankees,away,Mike Paredes,R,New York Yankees,9,6,2,1,7,0,42,True,False,0.736,0.752,0.72,0.753,0.735,-0.014
823527,2026-07-03,Minnesota Twins @ New York Yankees,home,Gerrit Cole,R,Minnesota Twins,9,3,3,3,6,0,53,False,True,0.757,0.755,0.747,0.753,0.745,-0.004
823933,2026-07-03,San Diego Padres @ Los Angeles Dodgers,away,Michael King,R,Los Angeles Dodgers,9,5,3,1,6,0,161,False,True,0.834,0.825,0.643,0.665,0.718,-0.031
823933,2026-07-03,San Diego Padres @ Los Angeles Dodgers,home,Shohei Ohtani,R,San Diego Padres,9,3,6,0,3,0,134,False,True,0.668,0.682,0.469,0.538,0.495,-0.254
824013,2026-07-03,Boston Red Sox @ Los Angeles Angels,away,Jake Bennett,L,Los Angeles Angels,9,3,6,0,6,2,32,True,False,0.717,0.73,0.579,0.667,0.664,-0.085
824013,2026-07-03,Boston Red Sox @ Los Angeles Angels,home,Reid Detmers,L,Boston Red Sox,9,3,6,0,6,2,105,False,True,0.801,0.763,0.588,0.611,0.631,-0.118
824173,2026-07-03,Tampa Bay Rays @ Houston Astros,away,Nick Martinez,R,Houston Astros,9,2,7,0,2,0,155,False,True,0.78,0.776,0.691,0.691,0.73,-0.019
824173,2026-07-03,Tampa Bay Rays @ Houston Astros,home,Spencer Arrighetti,R,Tampa Bay Rays,9,3,5,1,4,0,132,False,True,0.796,0.789,0.661,0.688,0.728,-0.021
824336,2026-07-03,San Francisco Giants @ Colorado Rockies,away,Logan Webb,R,Colorado Rockies,9,4,4,1,5,0,133,False,True,0.792,0.783,0.592,0.626,0.649,-0.1
824336,2026-07-03,San Francisco Giants @ Colorado Rockies,home,Ryan Feltner,R,San Francisco Giants,9,5,4,0,5,2,104,False,True,0.809,0.796,0.727,0.742,0.781,0.032
824417,2026-07-03,Chicago White Sox @ Cleveland Guardians,away,Anthony Kay,L,Cleveland Guardians,9,4,4,1,5,1,95,False,True,0.636,0.675,0.737,0.758,0.699,-0.05
824417,2026-07-03,Chicago White Sox @ Cleveland Guardians,home,Gavin Williams,R,Chicago White Sox,9,6,2,1,7,1,157,False,True,0.776,0.778,0.693,0.71,0.722,-0.027
824498,2026-07-03,Baltimore Orioles @ Cincinnati Reds,away,Trevor Rogers,L,Cincinnati Reds,9,1,6,2,8,2,88,False,True,0.842,0.795,0.769,0.762,0.8,0.051
824498,2026-07-03,Baltimore Orioles @ Cincinnati Reds,home,Brady Singer,R,Baltimore Orioles,9,5,3,1,6,0,134,False,True,0.771,0.767,0.886,0.867,0.872,0.123
824659,2026-07-03,St. Louis Cardinals @ Chicago Cubs,away,Andre Pallante,R,Chicago Cubs,9,3,5,1,4,0,173,False,True,0.759,0.759,0.679,0.689,0.699,-0.05
824659,2026-07-03,St. Louis Cardinals @ Chicago Cubs,home,David Peterson,L,St. Louis Cardinals,9,3,6,0,6,1,108,False,True,0.74,0.742,0.787,0.772,0.778,0.029
824904,2026-07-03,New York Mets @ Atlanta Braves,away,Christian Scott,R,Atlanta Braves,9,5,3,1,6,0,73,False,True,0.747,0.752,0.697,0.719,0.707,-0.042
824904,2026-07-03,New York Mets @ Atlanta Braves,home,Grant Holmes,R,New York Mets,9,5,3,1,6,0,142,False,True,0.725,0.731,0.736,0.743,0.714,-0.035
824982,2026-07-03,Miami Marlins @ Athletics,away,Tyler Phillips,R,Athletics,9,4,5,0,4,2,129,False,True,0.757,0.763,0.668,0.692,0.714,-0.035
824982,2026-07-03,Miami Marlins @ Athletics,home,Jack Perkins,R,Miami Marlins,9,5,3,1,6,0,113,False,True,0.752,0.758,0.705,0.735,0.728,-0.021
825062,2026-07-03,Milwaukee Brewers @ Arizona Diamondbacks,away,Kyle Harrison,L,Arizona Diamondbacks,9,1,5,3,8,2,92,False,True,0.829,0.794,0.631,0.654,0.689,-0.06
825062,2026-07-03,Milwaukee Brewers @ Arizona Diamondbacks,home,Jose Cabrera,R,Milwaukee Brewers,9,6,3,0,6,0,18,True,False,0.789,0.784,0.793,0.772,0.794,0.045
