game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822709,2026-07-10,New York Yankees @ Washington Nationals,away,Ryan Weathers,L,Washington Nationals,9,3,4,2,6,0,83,False,True,0.776,0.769,0.73,0.72,0.752,0.004
822709,2026-07-10,New York Yankees @ Washington Nationals,home,Carson Palmquist,L,New York Yankees,9,5,3,1,4,0,11,True,False,0.744,0.738,0.703,0.726,0.738,-0.01
822878,2026-07-10,Houston Astros @ Texas Rangers,away,Hunter Brown,R,Texas Rangers,9,4,5,0,4,0,59,False,True,0.736,0.738,0.672,0.704,0.699,-0.049
822878,2026-07-10,Houston Astros @ Texas Rangers,home,Cal Quantrill,R,Houston Astros,9,2,7,0,2,1,77,False,True,0.786,0.778,0.624,0.675,0.719,-0.029
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,away,Luis Castillo,R,Tampa Bay Rays,9,6,2,1,7,0,155,False,True,0.778,0.778,0.755,0.753,0.761,0.013
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,home,Nick Martinez,R,Seattle Mariners,9,6,2,1,7,2,171,False,True,0.748,0.754,0.686,0.701,0.691,-0.057
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,away,Chris Sale,L,St. Louis Cardinals,9,2,7,0,7,1,99,False,True,0.744,0.75,0.622,0.641,0.644,-0.104
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,home,Kyle Leahy,R,Atlanta Braves,9,6,2,1,7,1,179,False,True,0.767,0.767,0.838,0.81,0.81,0.062
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,away,Tanner Gordon,R,San Francisco Giants,9,5,4,0,5,0,97,False,True,0.798,0.791,0.98,0.907,0.957,0.209
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,home,Robbie Ray,L,Colorado Rockies,9,3,4,2,6,0,108,False,True,0.749,0.756,0.672,0.685,0.7,-0.048
823278,2026-07-10,Toronto Blue Jays @ San Diego Padres,away,Shane Bieber,R,San Diego Padres,9,2,7,0,2,1,29,True,False,0.68,0.689,1.261,0.884,0.83,0.082
823278,2026-07-10,Toronto Blue Jays @ San Diego Padres,home,JP Sears,L,Toronto Blue Jays,9,3,5,1,6,0,16,True,False,0.713,0.721,0.743,0.747,0.729,-0.019
